City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
233,Salinopolis,BR,-0.61,-47.36,78.6,86,53,10.04,broken clouds,0.0,0.0
234,Montepuez,MZ,-13.13,39.0,62.06,100,41,2.62,scattered clouds,0.0,0.0
235,Provideniya,RU,64.38,-173.3,40.75,67,49,18.68,scattered clouds,0.0,0.0
236,Makakilo City,US,21.35,-158.09,87.8,62,75,3.36,broken clouds,0.0,0.0
237,Chapais,CA,49.78,-74.85,66.2,77,75,6.93,light rain,0.0,0.0
238,Naze,JP,28.37,129.48,80.6,94,75,13.87,light rain,0.0,0.0
239,Yerbogachen,RU,61.28,108.01,74.1,54,3,4.45,clear sky,0.0,0.0
240,Yomou,GN,7.56,-9.27,70.92,99,100,2.82,light rain,0.22,0.0
241,Port-Gentil,GA,-0.72,8.78,73.29,81,11,10.16,few clouds,0.0,0.0
242,Port Elizabeth,ZA,-33.92,25.57,57.2,71,20,21.92,few clouds,0.0,0.0
243,Wanaka,NZ,-44.7,169.15,39.0,91,100,3.42,moderate rain,2.03,0.0
244,Aswan,EG,24.09,32.91,83.23,23,0,9.17,clear sky,0.0,0.0
245,Kaseda,JP,31.42,130.32,78.8,88,75,8.05,fog,0.0,0.0
246,Terra Santa,BR,-2.1,-56.49,76.03,88,1,2.98,clear sky,0.0,0.0
247,Mitchell,US,43.71,-98.03,86.0,48,1,12.75,clear sky,0.0,0.0
248,Nemuro,JP,43.32,145.57,53.6,100,75,8.05,light intensity shower rain,0.0,0.0
249,Kieta,PG,-6.22,155.63,85.01,65,86,5.32,overcast clouds,0.0,0.0
250,Coihaique,CL,-45.58,-72.07,32.0,92,75,5.82,broken clouds,0.0,0.0
251,Fortaleza,BR,-3.72,-38.52,80.6,78,40,9.17,scattered clouds,0.0,0.0
252,Puerto Leguizamo,CO,-0.19,-74.78,72.86,96,50,0.94,scattered clouds,0.0,0.0
253,Sotouboua,TG,8.57,0.98,71.28,94,24,2.82,moderate rain,1.19,0.0
254,Ouallam,NE,14.32,2.09,94.71,26,16,5.39,few clouds,0.0,0.0
255,Artyom,AZ,40.47,50.33,64.4,72,63,4.7,broken clouds,0.0,0.0
256,Saldanha,ZA,-33.01,17.94,57.2,82,67,2.24,broken clouds,0.0,0.0
257,Lorengau,PG,-2.02,147.27,84.42,74,93,9.01,overcast clouds,0.0,0.0
258,Abha,SA,18.22,42.51,73.4,21,99,6.13,overcast clouds,0.0,0.0
259,Narsaq,GL,60.92,-46.05,50.0,61,63,9.17,broken clouds,0.0,0.0
260,Anadyr,RU,64.75,177.48,41.0,60,75,17.9,broken clouds,0.0,0.0
261,Maputo,MZ,-25.97,32.59,61.0,72,0,6.93,clear sky,0.0,0.0
262,Lasa,IT,46.62,10.7,57.2,93,0,3.36,clear sky,0.0,0.0
263,Voloshka,RU,61.33,40.09,43.0,89,0,5.46,clear sky,0.0,0.0
264,Seabra,BR,-12.42,-41.77,61.14,89,3,1.63,clear sky,0.0,0.0
265,Belle Fourche,US,44.67,-103.85,91.99,32,1,3.0,clear sky,0.0,0.0
266,Hasaki,JP,35.73,140.83,72.0,100,75,8.05,mist,0.0,0.0
267,Nova Londrina,BR,-22.77,-52.98,63.39,83,100,4.83,overcast clouds,0.0,0.0
268,Jamame,SO,0.07,42.75,76.1,89,62,8.72,light rain,0.11,0.0
269,Agadez,NE,19.75,10.25,85.12,14,100,17.31,overcast clouds,0.0,0.0
270,Havre,FR,49.58,0.33,59.0,82,100,14.99,overcast clouds,0.0,0.0
271,Bud,US,39.45,-86.18,73.99,94,90,6.93,overcast clouds,0.0,0.0
272,Mount Gambier,AU,-37.83,140.77,46.4,81,0,10.29,clear sky,0.0,0.0
273,Zhigansk,RU,66.77,123.37,76.6,39,3,10.16,clear sky,0.0,0.0
274,Suntar,RU,62.14,117.63,76.96,51,62,3.24,broken clouds,0.0,0.0
275,Vostok,RU,46.49,135.88,54.09,94,100,3.65,overcast clouds,0.0,0.0
276,Maldonado,UY,-34.67,-54.92,46.4,87,19,3.36,few clouds,0.0,0.0
277,Caravelas,BR,-17.71,-39.25,69.69,88,0,2.48,clear sky,0.0,0.0
278,Pontecagnano,IT,40.64,14.87,73.99,54,35,1.01,scattered clouds,0.0,0.0
279,Kruisfontein,ZA,-34.0,24.73,53.19,66,0,20.6,clear sky,0.0,0.0
280,Faya,SA,18.39,42.45,73.4,21,64,4.47,broken clouds,0.0,0.0
281,Half Moon Bay,US,37.46,-122.43,80.01,50,40,17.22,scattered clouds,0.0,0.0
282,Valparaiso,CL,-33.04,-71.63,51.8,87,100,2.33,overcast clouds,0.0,0.0
283,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,78.8,39,0,6.71,clear sky,0.0,0.0
284,Torbay,CA,47.67,-52.73,55.0,100,90,4.7,overcast clouds,0.0,0.0
285,Inhambane,MZ,-23.86,35.38,67.82,71,0,12.26,clear sky,0.0,0.0
286,Udimskiy,RU,61.14,45.91,43.29,96,45,7.74,scattered clouds,0.0,0.0
287,Rabaul,PG,-4.2,152.17,84.42,70,13,9.48,light rain,0.59,0.0
288,Avera,US,33.19,-82.53,75.2,78,1,10.29,clear sky,0.0,0.0
289,Hambantota,LK,6.12,81.12,77.0,100,66,3.36,broken clouds,0.0,0.0
290,Vila Franca Do Campo,PT,37.72,-25.43,68.0,88,75,2.24,broken clouds,0.0,0.0
291,Airai,TL,-8.93,125.41,67.84,70,16,5.08,few clouds,0.0,0.0
292,San Cristobal,VE,7.77,-72.22,66.16,88,46,1.74,scattered clouds,0.0,0.0
293,Sol-Iletsk,RU,51.16,54.99,62.2,91,100,15.37,overcast clouds,0.0,0.0
294,Piacabucu,BR,-10.41,-36.43,74.39,86,0,4.03,clear sky,0.0,0.0
